#,Game,Date,Price,Review,Owners,Playtime,Developer,Publisher,Month
669,Call to Arms - Gates of Hell: Ostfront,11-Jun-21,87.14,0,350000,00:00 (00:00),"Barbedwire Studios, Digitalmindsoft",Digitalmindsoft,6
683,Need for Drive - Open World Multiplayer Racing,17-Feb-21,0.39,0,350000,00:00 (00:00),Success Games,"Success Games, Cristian Manolachi, Atomic Fabrik",2
684,Phoenotopia: Awakening,21-Jan-21,8.99,0,350000,00:00 (00:00),Cape Cosmic,"Cape Cosmic, Flyhigh Works",1
688,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,9-Nov-21,4.99,0,350000,00:00 (00:00),"Gearbox Software, Stray Kite Studios",2K,11
692,Stolen Realm,14-Oct-21,15.99,0,350000,00:00 (00:00),Burst2Flame Entertainment,Burst2Flame Entertainment,10
693,Archvale,2-Dec-21,8.99,0,350000,00:00 (00:00),idoz & phops,Humble Games,12
698,Gladiator Guild Manager,13-Oct-21,7.99,0,350000,00:00 (00:00),Entertainment Forge,"GrabTheGames, Gamera Games, UpgradePoint",10
701,DYSMANTLE,16-Nov-21,8.99,0,350000,00:00 (00:00),10tons Ltd,10tons Ltd,11
703,Slipways,3-Jun-21,8.49,0,350000,00:00 (00:00),Beetlewing,Beetlewing,6
706,Phantom Abyss,21-Jun-21,18.74,0,350000,00:00 (00:00),Team WIBY,Devolver Digital,6
709,The Immortal Mayor,14-Jul-21,15.99,0,350000,00:00 (00:00),Star Chess Studio,Yooreka Studio,7
715,Hextech Mayhem: A League of Legends Story,16-Nov-21,4.99,0,350000,00:00 (00:00),Choice Provisions,Riot Forge,11
720,Rogue Heroes: Ruins of Tasos,23-Feb-21,4.99,0,350000,00:00 (00:00),Heliocentric Studios,Team17 Digital,2
734,Aragami 2,17-Sep-21,17.49,0,350000,00:00 (00:00),Lince Works,Lince Works,9
735,Red Solstice 2: Survivors,17-Jun-21,11.99,0,350000,00:00 (00:00),Ironward,505 Games,6
743,Overcooked! All You Can Eat,23-Mar-21,15.99,0,350000,00:00 (00:00),"Team17 Digital, Ghost Town Games",Team17 Digital,3
746,MyDockFinder,25-Nov-21,4.99,0,350000,00:00 (00:00),MyDockFinder,MyDockFinder,11
750,Dungeons & Dragons: Dark Alliance,21-Jun-21,29.99,0,350000,00:00 (00:00),Tuque Games,Wizards of the Coast,6
754,Sub Rosa,25-Mar-21,14.99,0,350000,00:00 (00:00),Cryptic Sea,Devolver Digital,3
756,Infinitode 2 - Infinite Tower Defense,30-Apr-21,0,0,350000,00:00 (00:00),Prineside,Prineside,4
